Run,Zone 001,Zone 002,Zone 003,Zone 004,Zone 005,Zone 006,Zone 007,Zone 008,Zone 009,Zone 010,Zone 011,Zone 020,Zone 021,Zone 022,Zone 023,Zone 024,Zone 025,Zone 026,Zone 027,Zone 028,Zone 029,Zone 030,Series
kh_cps_Calibration,7.333125183545966e-06,1.020118811960498e-08,1.0000000028121746e-08,9.999999972413116e-05,9.999999984511166e-09,7.272899817675451e-07,1.1751164744378966e-08,5.787036985466706e-06,9.999999569906612e-07,1.0000000062736037e-06,8.012453350281084e-07,0.00013510267784359222,8.981032756078447e-05,9.99999998733544e-06,9.99999993989525e-07,3.961522372173761e-06,1.38084790214299e-08,5.8816723428428425e-06,1.199797344395435e-07,7.995207672464131e-05,9.999999936412514e-08,1.110876929062968e-07,Calibration
kh_cps_Base,7.212780105741516e-06,2.1490614280164965e-08,2.1147856653930534e-08,8.114799309477371e-05,2.3525339531164894e-08,1.0022635154260707e-06,2.0569497281648868e-08,4.234974977913858e-06,7.397432522181981e-07,8.746547629281785e-07,1.3231094250165344e-06,0.0001651903420753068,8.839285736425884e-05,6.17435755524414e-06,1.8288233888613316e-06,4.215289227406971e-06,1.3036119118143628e-08,7.89260861520583e-06,1.8920737786069977e-07,9.098529273194992e-05,1.6925220997443338e-07,1.6481439651029658e-07,IES Realization Base
kh_cps_Run000,7.081950560128381e-06,2.0152390469920567e-08,2.007539631372713e-08,8.248845254693398e-05,2.190757968188317e-08,9.662383193501858e-07,1.9277798576239023e-08,4.435454295907493e-06,7.502609942657535e-07,8.739856808205791e-07,1.1724804590360448e-06,0.00016042389395308138,9.375171147823999e-05,6.4144203556528195e-06,1.7489360349151233e-06,4.0489275871456775e-06,1.3197220771549546e-08,7.463632501251251e-06,1.8643113566762062e-07,0.00010064006480784029,1.664242103791558e-07,1.6041261573149668e-07,IES Realization Average
kh_cps_Run001,7.218102772380998e-06,2.165736912526646e-08,2.1166075941265058e-08,8.143637274433621e-05,2.3607221985719632e-08,1.0253669580242528e-06,2.0831215744890805e-08,4.2879383193202435e-06,7.300157641637981e-07,8.757201420567482e-07,1.2787091588128307e-06,0.00016369658142128524,8.855977064892497e-05,6.164502533319789e-06,1.8319077304871836e-06,4.229456119959245e-06,1.3177933798755683e-08,7.748670116147398e-06,1.8842161323360813e-07,9.015944059084995e-05,1.7163272526915686e-07,1.6527784030740833e-07,IES Realization Average
kh_cps_Run002,7.171147335404674e-06,2.0904978681690485e-08,2.0763718349788042e-08,8.111824874999469e-05,2.28396935596235e-08,9.750221856077045e-07,2.000429596187011e-08,4.178732222330223e-06,7.569535583903073e-07,8.793011118771946e-07,1.348991736317791e-06,0.00016450692110360165,8.811882567994239e-05,6.3267144944681206e-06,1.787881308577923e-06,4.134345496692128e-06,1.304281667020619e-08,8.07752284816066e-06,1.9450524754078274e-07,9.498222078861709e-05,1.664391183278383e-07,1.609260772339787e-07,IES Realization Average
kh_cps_Run003,7.088380699231243e-06,2.025143162745956e-08,1.999309789884848e-08,8.343456282278316e-05,2.1663813779701118e-08,9.8075636859261e-07,1.9511834937218715e-08,4.509723810678388e-06,7.448799656273904e-07,8.731672528448618e-07,1.1338580011987432e-06,0.00015812524370311979,9.368639137194888e-05,6.4366443969856745e-06,1.753236326937056e-06,3.918528677834581e-06,1.3393188724309378e-08,7.439701761605355e-06,1.8520962858818177e-07,9.922279387510265e-05,1.703778550007897e-07,1.6017665875737215e-07,IES Realization Average
kh_cps_Run004,7.214015524071449e-06,2.131285604373914e-08,2.0842927005785486e-08,8.105238758358554e-05,2.3503624537037036e-08,9.954020830494617e-07,2.0577294260515806e-08,4.23023462809062e-06,7.362108673025434e-07,8.766593559721395e-07,1.2978872662450397e-06,0.0001634505220824793,8.7794341386439e-05,6.168591072981456e-06,1.8212226122439403e-06,4.234008625426021e-06,1.300327554325862e-08,7.83596728953954e-06,1.8728079362966464e-07,8.969083483481708e-05,1.6915239466934505e-07,1.647222634349389e-07,IES Realization Average
kh_cps_Run005,7.196075639744081e-06,2.1481127552793348e-08,2.1086783403753904e-08,8.21395801620318e-05,2.341915594184028e-08,1.0236311649924812e-06,2.0535030377736736e-08,4.373745143010915e-06,7.307378659628594e-07,8.740867973563904e-07,1.2088011518270502e-06,0.00016362137752912222,9.224013967419864e-05,6.202674650170211e-06,1.8231232917106092e-06,4.201639638557208e-06,1.3212127078647205e-08,7.548268093462212e-06,1.8747565074039068e-07,9.406226422142341e-05,1.723325825510345e-07,1.6516141700432292e-07,IES Realization Average
kh_cps_Run006,7.164574789960615e-06,2.1290195267760803e-08,2.1173995687766497e-08,8.168448464055521e-05,2.3168638766084557e-08,9.836369677504207e-07,2.0022305688818797e-08,4.468783622082181e-06,7.356089825263354e-07,8.650085283533757e-07,1.242314208622685e-06,0.00016340428965099784,9.228194721035248e-05,6.150603989416161e-06,1.8334188456648613e-06,4.133267897187862e-06,1.313462078977892e-08,7.5196558636136125e-06,1.882924447098386e-07,9.765840427626907e-05,1.7067293040584117e-07,1.6659723974436177e-07,IES Realization Average
kh_cps_Run007,7.2573327640426615e-06,2.1975380105148078e-08,2.1395160006848383e-08,8.11334216300096e-05,2.4169020864311e-08,1.034657654743507e-06,2.1140530197842888e-08,4.2752225319592045e-06,7.285337984138936e-07,8.718312677855628e-07,1.298735314360119e-06,0.00016555251109056477,8.717654193863601e-05,6.126725826577124e-06,1.8618005736912509e-06,4.173586850972997e-06,1.3294246741644733e-08,7.91143218455956e-06,1.9062226768929846e-07,9.020911208915481e-05,1.7393299647513097e-07,1.6677794989110154e-07,IES Realization Average
kh_cps_Run008,7.238418394907436e-06,2.1538861641676318e-08,2.104717665577433e-08,8.090422302147172e-05,2.3789831045581426e-08,1.0034037492366152e-06,2.076043799754685e-08,4.1719663717797795e-06,7.41878620823572e-07,8.719780094248989e-07,1.3429157882771163e-06,0.00016632355810398752,8.646541632651052e-05,6.1900107925694495e-06,1.838564885551474e-06,4.147864765425147e-06,1.308956813772899e-08,8.09138867727102e-06,1.9002722711090109e-07,8.989848180831851e-05,1.6992126673593014e-07,1.646358455298141e-07,IES Realization Average
kh_cps_Run009,7.238418394907436e-06,2.1538861641676318e-08,2.104717665577433e-08,8.090422302147172e-05,2.3789831045581426e-08,1.0034037492366152e-06,2.076043799754685e-08,4.1719663717797795e-06,7.41878620823572e-07,8.719780094248989e-07,1.3429157882771163e-06,0.00016632355810398752,8.646541632651052e-05,6.1900107925694495e-06,1.838564885551474e-06,4.147864765425147e-06,1.308956813772899e-08,8.09138867727102e-06,1.9002722711090109e-07,8.989848180831851e-05,1.6992126673593014e-07,1.646358455298141e-07,IES Realization Average
kh_cps_IES_Avg,7.189199725501863e-06,2.123582422157237e-08,2.088539677938747e-08,8.158581363799521e-05,2.321670461259346e-08,9.994347923645385e-07,2.0362789001988675e-08,4.303522026804789e-06,7.397002082289294e-07,8.734882653495298e-07,1.2718834816355519e-06,0.00016369261807432127,8.953939630963294e-05,6.231386950904945e-06,1.8152254440174751e-06,4.144070877457544e-06,1.3151880501068353e-08,7.783657875280678e-06,1.8886369217108068e-07,9.340067198478739e-05,1.7000541422950782e-07,1.6401255906135509e-07,IES Realization Average
